trial,rep,n_rate,inoc_rate,trt,target_strain,copies_per_g_fw
MI01451,1,Low,Control,UTC,137-2253,152.432065254992
MI01451,1,Low,Control,UTC,6-5687,315.4102491703631
MI01451,1,Low,Low,PROVEN40,137-2253,1933.624871768095
MI01451,1,Low,Low,PROVEN40,6-5687,159.1018770449715
MI01451,1,Low,Medium,PROVEN40,137-2253,0
MI01451,1,Low,Medium,PROVEN40,6-5687,0
MI01451,1,Low,High,PROVEN40,137-2253,5852.64794278571
MI01451,1,Low,High,PROVEN40,6-5687,598.117018979662
MI01451,2,Low,Control,UTC,137-2253,97.2068205982115
MI01451,2,Low,Control,UTC,6-5687,11.92596455167335
MI01451,2,Low,Low,PROVEN40,137-2253,81.69778445228195
MI01451,2,Low,Low,PROVEN40,6-5687,0
MI01451,2,Low,Medium,PROVEN40,137-2253,83.156134478453
MI01451,2,Low,Medium,PROVEN40,6-5687,9.9649710537052
MI01451,2,Low,High,PROVEN40,137-2253,1911.729516642325
MI01451,2,Low,High,PROVEN40,6-5687,160.139404175922
MI01451,3,Low,Control,UTC,137-2253,12.8345452607758
MI01451,3,Low,Control,UTC,6-5687,0
MI01451,3,Low,Low,PROVEN40,137-2253,55.7062069252365
MI01451,3,Low,Low,PROVEN40,6-5687,0
MI01451,3,Low,Medium,PROVEN40,137-2253,67.0640957502775
MI01451,3,Low,Medium,PROVEN40,6-5687,0
MI01451,3,Low,High,PROVEN40,137-2253,131.67619382347152
MI01451,3,Low,High,PROVEN40,6-5687,0
MI01451,4,Low,Control,UTC,137-2253,2133.449156427846
MI01451,4,Low,Control,UTC,6-5687,18444.665849975
MI01451,4,Low,Low,PROVEN40,137-2253,96.0985454538096
MI01451,4,Low,Low,PROVEN40,6-5687,0
MI01451,4,Low,Medium,PROVEN40,137-2253,3182.05549779573
MI01451,4,Low,Medium,PROVEN40,6-5687,261.2389013055465
MI01451,4,Low,High,PROVEN40,137-2253,138.2595460653875
MI01451,4,Low,High,PROVEN40,6-5687,19.21642118595975
MI01451,5,Low,Control,UTC,137-2253,0
MI01451,5,Low,Control,UTC,6-5687,0
MI01451,5,Low,Low,PROVEN40,137-2253,123.81835000193784
MI01451,5,Low,Low,PROVEN40,6-5687,1304.6049501255577
MI01451,5,Low,Medium,PROVEN40,137-2253,34.0552946327261
MI01451,5,Low,Medium,PROVEN40,6-5687,0
MI01451,5,Low,High,PROVEN40,137-2253,377.9867208334945
MI01451,5,Low,High,PROVEN40,6-5687,0
MI01451,6,Low,Control,UTC,137-2253,285.505878597059
MI01451,6,Low,Control,UTC,6-5687,0
MI01451,6,Low,Low,PROVEN40,137-2253,0
MI01451,6,Low,Low,PROVEN40,6-5687,263.1826252010395
MI01451,6,Low,Medium,PROVEN40,137-2253,926.89593084904
MI01451,6,Low,Medium,PROVEN40,6-5687,76.537080868924
MI01451,6,Low,High,PROVEN40,137-2253,793.4037162939514
