year,plot,rep,microbe,n_rate,V8_leaftip_d15n_permil,V8_shoot_d15n_permil,R1_shoot_d15n_permil,R1_leaf_d15n_permil,R1_stem_d15n_permil,R1_ear_d15n_permil,R6_shoot_d15n_permil,R6_leaf_d15n_permil,R6_stem_d15n_permil,R6_kernel_d15n_permil,V8_shoot_n_kgha,R1_shoot_n_kgha,R6_shoot_n_kgha
2021,510,5,UTC,215,9.688111930000002,5.524353261,1.8300575442501976,4.940565070400001,5.6972248134,6.8424021778,1.506605130120728,2.9760682916,4.99611289,5.0614493168,56.684781963229256,240.5163601905244,236.4567533500618
2021,511,5,PROVEN40,175,6.867690636300001,3.561245818,1.3103068279550627,3.4419256424,4.0576781787,5.4548507167,1.487836761921029,2.5530227768,2.9126337999999996,5.392385460800001,60.11415637618069,244.21045017619664,268.3867463004808
2021,512,5,UTC,175,9.2923869859,2.66391121,2.1337415514621303,5.9059093976,6.4450352183,7.699390251500001,1.7206967473195098,2.2889943703999998,2.46953191,6.717132873600001,63.64040577254883,227.34116738329487,214.8105775736013
2021,601,6,PROVEN40,255,7.0167168239,2.787232056,1.288028250991079,3.2584801472,3.2343822013,6.0544465151,1.4158159234742282,1.9619591851999998,3.9838801299999997,5.080503216,59.16348987225139,230.8637350813056,202.0570942782351
2021,602,6,UTC,255,7.2754987848,7.789245862,2.0136752943330904,5.632244806400001,5.504988222100001,8.0928749942,1.9449332000409785,2.7990492464,4.405977190000001,7.0982108576,37.50999357894902,215.4762995715769,233.7219898916273
2021,603,6,PROVEN40,175,6.3682515211,5.577491511,1.8584045541489775,4.983669749600001,4.8678899902,8.3147648867,1.9389047741542267,4.0471835312,4.34696362,6.6419201136,48.091325100944545,200.92936713898249,221.53800664385884
2021,604,6,UTC,175,8.883571903700002,8.632439611,1.3003666843375565,3.531142304,3.5282726969,5.403569497100001,1.5315493140900862,2.7600450499999996,3.6428016999999997,5.341240784,40.37534031067428,233.98579165748768,218.55942396814413
2021,605,6,PROVEN40,135,7.8997976788000015,4.384387396,1.9827628057025193,5.332516920800001,5.4919040562,8.333502255400001,1.2557903298567659,0.7608299576,2.46353053,4.8267855056,47.275853018316795,210.79825948047028,180.36527962296194
2021,606,6,UTC,135,9.972067233400002,12.26990325,1.7780246275899823,4.7781706976,5.0279194039,7.331546118600001,1.8194871060453461,2.9340637723999996,3.3157264899999994,6.695070464000001,25.379075655548743,223.76859062954654,197.6641369147895
2021,607,6,PROVEN40,215,4.6494156952,3.757757084,2.124741930052308,5.4878942528,6.5889610432,8.970572791199999,1.9252579773136602,3.5711323135999997,4.9380995500000004,6.4132733232,49.36964432656323,201.68345105839472,230.48416667314842
2021,608,6,UTC,215,8.223771823500002,5.672739319,1.8415768876804766,5.1059667464,5.4496321356,7.025831155600001,1.1669140336359476,1.6469252912,4.147917850000001,3.9803912464000004,37.27224084187032,213.82380735259724,209.89320365927102
2021,609,6,PROVEN40,95,6.4840488966,NA,2.0032040208751893,5.941997036000001,5.1909682405,7.3167534591,1.635623846866799,2.3590019023999997,2.4075176499999995,6.169583980800001,42.98149264232463,187.6835475074217,210.13558378797998
2021,610,6,UTC,95,8.429444805000001,NA,1.836028595223503,5.015747650400001,5.467748673,6.9834255317,1.4144267884557282,1.8139432604,2.3455033899999997,5.3653088672000004,52.25221327756258,221.87087856708152,217.81632492331843
2021,611,6,PROVEN40,0,10.618518668800002,7.845538221,1.8773722432061941,6.2567614376,3.24344047,6.910448411500001,1.1263420721476252,2.9390643103999996,2.32949971,4.2391231408,49.72915815390968,145.47371108521904,69.85719291009339
2021,612,6,UTC,0,11.904373003700002,9.818524516,1.9988292068866247,6.719886130400001,3.9821926062,7.047527056200001,1.4988888386326187,3.0460758236,3.36573799,5.6952421744,33.641314796754315,115.85957656998784,87.1999668588916
2021,701,7,PROVEN40,95,6.8626559678,5.880535685,1.8254554550228963,5.2322336868,4.5277016768,7.704321138000001,1.5814632662970534,2.6910242042,3.0626683,5.5006918352000005,49.67792205156929,151.11552218909395,201.80877014194957
2021,702,7,UTC,95,7.3731713537,6.950359311,2.581762163185304,7.684572745,6.927213425600001,8.867024174700001,1.8575895384613013,3.8576509004,3.4627603,6.222734331200001,45.008547850884,177.13733953383823,186.69401433679968
2021,703,7,PROVEN40,135,8.193822319200002,5.368577178,1.6766075907850002,4.2871543191,5.449919830200001,6.799996553900001,1.9217668477096304,3.3586660004,3.89585989,6.5887697632,39.55599322870987,194.70192367186422,249.15081999187956
2021,704,7,UTC,135,6.827413288300001,5.934426054,1.6553460046190092,5.228840969999999,4.382875991600001,4.923301152000001,2.01887357491626,3.1351207652,3.06066784,6.860538536,34.88512069494774,238.2448962378097,265.0898189083844
2021,705,7,PROVEN40,0,8.701316904,7.257734009,1.6376222893137617,5.349121709999999,3.3680995499,5.5850261203,1.2583906794335575,2.317783499,1.99942381,4.609169920000001,41.71049285989745,122.57131826109166,116.29259932463874
2021,706,7,UTC,0,8.741594252000002,8.835524263,1.6648319880604172,5.085506421499999,3.8562573134,6.233276994,1.8453158731006472,2.3447286836,2.53154617,7.319336496000002,36.90687145997068,128.1872474852427,101.65026922407446
2021,707,7,PROVEN40,215,6.5635966589,4.595150583,1.3413704362929082,3.6401328625,4.7911533938,4.2056452,2.2503632591963734,3.704961521,5.71927918,7.578766337999999,50.3284913846477,230.786089442134,313.9455417974553
2021,708,7,UTC,215,6.2433917423,8.125967735,1.0651205687407355,2.8823642005,3.5396944001,3.737406409999999,1.4653207614842447,2.622164288,4.00588519,4.990644819000001,36.150023811751915,217.48982207890805,342.42118828831104
2021,709,7,PROVEN40,175,5.7600635662999995,4.819693788,1.4941113487871818,4.471072307999999,4.509106686000001,4.471857366,1.409119358409825,2.5443226436,2.7025854999999996,4.948435995500001,43.22174260119807,229.92233654084094,343.64870190618643
2021,710,7,UTC,175,6.396445664700001,5.90548493,1.3969080479383023,3.967897879,3.9923497808,4.98955059,2.198834371463327,4.0372854644,5.4332134000000005,7.813488575999999,41.953326151661976,247.4715670214036,213.22484181259276
2021,711,7,PROVEN40,255,7.194944088800001,7.373498506,1.5049443316127045,3.8085258985,4.6629503448,6.805685762,1.6761180723387046,1.9844615858,3.4937674299999997,6.086015263,41.30921515081135,228.58349761004035,270.23985700245765
2021,712,7,UTC,255,6.3873832614,6.227829175,1.676022157251334,4.589348369,5.3148135401,6.192240336,2.197407067979103,3.8656346588,3.31772695,7.944232980500001,35.1746606453836,203.81760944579477,302.1943916141249
2021,801,8,PROVEN40,0,12.477318279000002,8.912367937,1.59034212799009,4.734941287700001,3.7487639877,6.66258357,2.009541713621324,3.5562640208,3.56378353,7.595238073999999,37.968104611639575,91.49025144422313,85.23275895988317
2021,802,8,UTC,0,12.812627201100002,10.18278349,1.4047187317247067,1.8769994723,6.021902664200001,8.2288430935,2.150517344585928,5.361591389,3.8038387299999994,7.8762870695,36.679486498895,84.10426485251628,84.45431468730554
2021,803,8,PROVEN40,255,10.2580364042,9.355466529,1.6931427971853112,4.428240147400001,4.0692716102,7.593359850499998,2.0829274154874575,3.5622518395999996,3.95787415,7.2390367829999995,35.7597855452205,232.74740951408987,245.66418187277907
2021,804,8,UTC,255,11.165283667900002,10.43626782,1.1897117044756882,3.5673073645,2.980531871,4.3056862905,2.433683958327735,3.3476883325999998,4.537007320000001,8.7760556485,29.97355042461105,197.93935201698486,231.00290733195294
2021,805,8,PROVEN40,95,8.990306875900002,7.037182683,1.841141361426957,4.996278272200001,4.566304969400001,8.4433437465,1.6374040416080629,1.8527295722,1.66934791,6.118958735,45.12049227616553,199.39049198523136,202.53357340414797
2021,806,8,UTC,95,8.492881628100001,9.893372251,1.6189364891080622,4.4381019204,4.392737764600001,6.5909739918,1.417121960711234,2.3008180123999997,1.6293387099999999,5.384936999500001,37.987049052841066,198.1174544435593,274.845939318849
2021,807,8,PROVEN40,135,7.5101143369,4.251848971,1.7201608351451878,6.516963668800001,3.0140618992,3.920797673900001,1.5624936815216433,3.2419035338,2.4265220199999997,5.3993497685,50.63892188706302,206.50011274259867,242.86643249047296
2021,808,8,UTC,135,7.8323331209000004,7.132987784,1.7540942894552893,7.546532770000001,2.3819222499,2.668743644700001,1.2834440058264422,1.9754798575999999,0.9961931199999999,4.700330472,33.02208990275473,210.2569333859068,283.8738262145392
2021,809,8,PROVEN40,175,7.9219502202,3.633107695,1.535014522041606,5.196472264100001,2.980531871,5.019352014499999,2.0500186385157306,4.0372854644,3.12768325,7.250361101500001,24.007773668069298,211.5913855574321,201.15551114395547
2021,810,8,UTC,175,8.1042052199,6.641986642,1.7362428610447458,4.6905633092,5.015015640900001,6.890719860999999,1.9194893174265484,3.3816193058,2.8326154,6.809742163499999,38.97732666110074,212.28098411549843,272.02493994167605
2021,811,8,PROVEN40,215,6.777066603300001,4.132092595,1.8887052888711178,8.521260747200001,2.1442535206,2.229841186,1.5878164541524062,2.3846474756,3.9038617300000005,5.63510149,48.55589446586289,220.0380905418899,270.51885694085934
2021,812,8,UTC,215,8.006532651000002,4.083192075,2.045655946210686,7.455672980000001,4.1678893402,4.696598695499999,2.1967017514283875,4.0173260684,6.32641879,7.253449552000001,37.60826356212692,191.24428001112693,318.45173524701147
